text,label
"Severe thunderstorm warning for Hyderabad tonight. Stay indoors.",real
"Heavy rainfall expected in Chennai over the next 48 hours.",real
"Heatwave alert: Temperatures in Vijayawada likely to reach 42C.",real
"Clear skies and pleasant weather expected in Mumbai this weekend.",real
"Guaranteed no rain today in all cities. 100% certain.",fake
"Urgent: 100% chance of snow in Mumbai tomorrow! Click for details.",fake
"Weather alert: Guaranteed sunshine all week. No clouds possible.",fake
"Moderate breeze and sunny intervals likely in Bangalore.",real
"Warning: High humidity levels in coastal regions may cause discomfort.",real
"100% guaranteed storm hitting Mumbai in 10 minutes. Panic now!",fake
"Light showers likely in the evening across the city.",real
"Temperature is likely to drop significantly after sunset.",real
"Guaranteed lottery win if you check the weather now!",fake
"Weather update: Likely rain in coastal areas due to depression.",real
"100% accurate weather prediction: Rain will never happen again.",fake
"Stay safe: Likely heavy winds in the northern sectors.",real
"Weather warning: 100% probability of a sunny day with no clouds.",fake
"Official report: Likely chance of isolated thunderstorms.",real
"Fake Alert: 100% guaranteed perfect weather for 100 years.",fake
"Met office: Likely rainfall in the upcoming monsoon season.",real
"The entire city of Hyderabad will be underwater by tonight! 100% guaranteed.",fake
"Scattered clouds and mild temperatures expected in Bangalore today.",real
"URGENT: Global warming will freeze the entire city of Delhi in 5 minutes!",fake
"Foggy conditions reported on the highway. Drive carefully.",real
"100% chance of a fire rain falling from the sky tonight!",fake
"Partly cloudy skies with a chance of light drizzle in the afternoon.",real
"Guaranteed secret weather hack to stop the rain permanently!",fake
"Humidity levels rising in the coastal belt of Andhra Pradesh.",real
"Breaking: Entire city of Mumbai to be destroyed by 500km/h winds!",fake
"High pressure system bringing clear conditions to the central plains.",real
"100% guaranteed miracle: No more hot weather forever!",fake
"Local advisory: Thunderstorms likely in the western ghats.",real
"Warning: The entire world will face a 100C heatwave in 10 minutes!",fake
"Mist and low visibility expected in the early morning hours.",real
"Guaranteed: The sun will never set again in Hyderabad!",fake
"Increasing cloudiness followed by overnight showers in the valley.",real
"100% probability that the moon will fall into the ocean during the storm.",fake
"Frost warning for the higher altitudes. Protect your crops.",real
"Emergency: Entire city to be wiped out by a giant wave at 4pm!",fake
"Stable weather conditions across most metropolitan areas today.",real
"Guaranteed: Drink this water to make the weather cold for you!",fake
"Slight chance of showers in the northern districts by evening.",real
"100% guaranteed: The weather is lying to you! Believe us instead.",fake
"Intense heat expected in the desert regions. Stay hydrated.",real
"The entire city will be swallowed by a giant hole in the sky!",fake
"Typical monsoon patterns observed in the southern peninsula.",real
"Guaranteed: A 100% perfect climate for the next 1000 years.",fake
"Widespread rain expected to bring relief from the summer heat.",real
"Breaking: The entire city of Chennai will vanish into thin air!",fake
"Gentle breeze and low humidity making for a pleasant day.",real
